"methods","scen_name","scen","sample_size","base_infect_shape","base_infect_mode","base_infect_min","base_infect_max","vacc_season","vacc_mean_d","vacc_sd_d","control_start","control_end","risk_start","risk_end","scen_id","missing_estimate","convergence_issue","mean_n_event","est_V_hat","est_V_hat_low_CI","est_V_hat_up_CI","IRR_V_hat","IRR_V_hat_low_CI","IRR_V_hat_up_CI","VE_hat","VE_hat_low_CI","VE_hat_up_CI","bias_est_V","bias_est_V_MCSE","bias_est_V_low_CI","bias_est_V_up_CI","mod_se_est_V_hat","se_est_V_hat","se_est_V_hat_MCSE","se_est_V_hat_low_CI","se_est_V_hat_up_CI","relative_bias_est_V","relative_bias_est_V_MCSE","relative_bias_est_V_low_CI","relative_bias_est_V_up_CI","bias_IRR_V","bias_IRR_V_MCSE","bias_IRR_V_low_CI","bias_IRR_V_up_CI","relative_bias_IRR_V","relative_bias_IRR_V_MCSE","bias_VE","bias_VE_MCSE","bias_VE_low_CI","bias_VE_up_CI","coverage_irr_V","coverage_irr_V_MCSE","coverage_irr_V_low_CI","coverage_irr_V_up_CI"
"calendar_adjustment","S30_seasonality_size10000","seasonality",10000,20,200,2e-04,0.003,"beta",180,20,3,7,16,35,30,0,0,279.808,-0.872141999415779,-0.882652884681761,-0.861631114149796,0.424142571595329,0.419604542759425,0.428680600431232,0.575857428404671,0.571319399568768,0.580395457240575,0.0441487324583761,0.00536269656427683,0.0336378471923935,0.0546596177243587,0.174000122009215,0.169583355434743,0.00379389652878467,0.162147318238325,0.177019392631161,-0.0481820135494283,0.00585261465354792,-0.0596531382703822,-0.0367108888284744,0.0241425715953286,0.00231532083464462,0.0196045427594251,0.028680600431232,0.0603564289883214,0.00578830208661155,-0.0241425715953286,0.00231532083464462,-0.028680600431232,-0.0196045427594251,0.945,0.00720936890441875,0.930869636947339,0.959130363052661
"calendar_adjustment","S31_seasonality_size10000","seasonality",10000,2.5,100,2e-04,0.002,"beta",80,20,3,7,16,35,31,0,0,200.701,-0.877777247718167,-0.889982735605746,-0.865571759830588,0.423800792917508,0.418615189334729,0.428986396500287,0.576199207082492,0.571013603499713,0.58138481066527,0.0385134841559879,0.00622728973856079,0.0263079962684088,0.0507189720435671,0.197847489007585,0.196924192236466,0.00440556213458782,0.188289290452674,0.205559094020258,-0.0420319477391347,0.00679619417935579,-0.055352488330672,-0.0287114071475973,0.0238007929175082,0.00264571611366264,0.0186151893347294,0.028986396500287,0.0595019822937705,0.00661429028415661,-0.0238007929175082,0.00264571611366264,-0.028986396500287,-0.0186151893347294,0.948,0.00702111102319284,0.934238622394542,0.961761377605458
"calendar_adjustment","S32_seasonality_size10000","seasonality",10000,10,300,2e-04,0.003,"beta",80,20,3,7,16,35,32,0,0,29.919,-0.664934701713612,-0.698924277863659,-0.630945125563565,0.599294349737121,0.576278804213976,0.622309895260265,0.400705650262879,0.377690104739734,0.423721195786024,0.251356030160543,0.017341620484718,0.217366454010496,0.28534560631059,0.523690151233466,0.548390190499421,0.0122685132324553,0.524343904563808,0.572436476435033,-0.274319079541955,0.0189258931488349,-0.311413830113672,-0.237224328970239,0.199294349737121,0.0117426252669105,0.176278804213976,0.222309895260265,0.498235874342802,0.0293565631672763,-0.199294349737121,0.0117426252669105,-0.222309895260265,-0.176278804213976,0.917,0.00872416185085994,0.899900642772315,0.934099357227686
"calendar_adjustment","S33_seasonality_size10000","seasonality",10000,20,200,2e-04,0.003,"beta",80,20,3,7,16,35,33,0,0,39.274,-0.482488394073907,-0.515326851177419,-0.449649936970395,0.713538175580044,0.686318151914746,0.740758199245341,0.286461824419956,0.259241800754659,0.313681848085254,0.433802337800248,0.0167543148487305,0.400963880696736,0.46664079490376,0.465425896754767,0.529817955575678,0.0118530176348577,0.506586041011357,0.553049870139999,-0.473433073925086,0.0182849332268828,-0.509271543049776,-0.437594604800396,0.313538175580044,0.0138877671761723,0.286318151914746,0.340758199245341,0.783845438950109,0.0347194179404307,-0.313538175580044,0.0138877671761723,-0.340758199245341,-0.286318151914746,0.817,0.0122274690758145,0.793034160611404,0.840965839388596
"calendar_adjustment","S34_seasonality_size20000","seasonality",20000,2.5,100,2e-04,0.002,"beta",180,60,3,7,16,35,34,0,0,278.79,-0.98110553790725,-0.992415660993529,-0.969795414820972,0.381152003301437,0.376843057327966,0.385460949274908,0.618847996698563,0.614539050725092,0.623156942672034,-0.0648148060330953,0.00577047096238686,-0.0761249291193735,-0.053504682946817,0.178123900042355,0.182478314130063,0.00408238084912129,0.174476847665785,0.190479780594341,0.0707360707452807,0.00629764196193942,0.0583926924998795,0.083079448990682,-0.018847996698563,0.00219844182319948,-0.0231569426720339,-0.014539050725092,-0.0471199917464074,0.0054961045579987,0.0188479966985629,0.00219844182319948,0.014539050725092,0.0231569426720339,0.94,0.00750999334220744,0.925280413049273,0.954719586950727
"calendar_adjustment","S35_seasonality_size20000","seasonality",20000,10,300,2e-04,0.003,"beta",180,60,3,7,16,35,35,0,0,338.493,-0.771075709385218,-0.780961780903021,-0.761189637867414,0.468380203854818,0.463780204081192,0.472980203628444,0.531619796145182,0.527019796371556,0.536219795918808,0.145215022488937,0.0050439140396956,0.135328950971134,0.15510109400674,0.163939658580181,0.15950256687539,0.00356837045268661,0.152508560788125,0.166496572962656,-0.158481383077965,0.00550470921972432,-0.169270613148625,-0.147692153007306,0.0683802038548181,0.00234693866001322,0.0637802040811922,0.072980203628444,0.170950509637045,0.00586734665003304,-0.0683802038548181,0.00234693866001322,-0.072980203628444,-0.0637802040811922,0.87,0.0106348483769163,0.849155697181244,0.890844302818756
"calendar_adjustment","S36_seasonality_size20000","seasonality",20000,20,200,2e-04,0.003,"beta",180,60,3,7,16,35,36,0,0,375.028,-0.899783498810918,-0.909557370574087,-0.890009627047749,0.411714042494657,0.40769728001666,0.415730804972653,0.588285957505343,0.584269195027347,0.59230271998334,0.016507233063237,0.00498666926692307,0.00673336130006779,0.0262811048264062,0.1542230973016,0.15769232821439,0.00352787203139618,0.150777699032854,0.164606957395927,-0.0180152788727586,0.00544223475525445,-0.0286820589930574,-0.0073484987524599,0.0117140424946565,0.00204936861122286,0.00769728001665973,0.0157308049726533,0.0292851062366413,0.00512342152805714,-0.0117140424946565,0.00204936861122286,-0.0157308049726533,-0.00769728001665973,0.942,0.00739161687318817,0.927512430928551,0.956487569071449
"calendar_adjustment","S37_seasonality_size20000","seasonality",20000,2.5,100,2e-04,0.002,"beta",80,60,3,7,16,35,37,0,0,326.771,-0.738932438302973,-0.748136110175252,-0.729728766430694,0.482925476250053,0.478440407051199,0.487410545448908,0.517074523749947,0.512589454551092,0.521559592948801,0.177358293571182,0.00469575095524436,0.168154621698903,0.186561965443461,0.152929947695562,0.148492683434836,0.00332205878807564,0.141981448210207,0.155003918659464,-0.193561156302889,0.00512473911597884,-0.203605644970207,-0.18351666763557,0.0829254762500534,0.00228830061166054,0.0784404070511987,0.087410545448908,0.207313690625133,0.00572075152915134,-0.0829254762500534,0.00228830061166054,-0.087410545448908,-0.0784404070511987,0.803,0.0125774003673255,0.778348295280042,0.827651704719958
"calendar_adjustment","S38_seasonality_size20000","seasonality",20000,10,300,2e-04,0.003,"beta",80,60,3,7,16,35,38,0,0,106.749,-0.735468534973482,-0.753136341923808,-0.717800728023156,0.499407046338109,0.490211413141921,0.508602679534297,0.500592953661891,0.491397320465703,0.509788586858079,0.180822196900673,0.00901418721955405,0.163154389950347,0.198490003850999,0.284300775723997,0.285053628689711,0.00637718229852765,0.272554351384597,0.297552905994825,-0.197341510298619,0.00983769332809543,-0.216623389221686,-0.178059631375552,0.0994070463381092,0.00469164958989184,0.0902114131419212,0.108602679534297,0.248517615845273,0.0117291239747296,-0.0994070463381092,0.00469164958989184,-0.108602679534297,-0.0902114131419212,0.899,0.00952885092757778,0.880323452181948,0.917676547818053
"calendar_adjustment","S39_seasonality_size20000","seasonality",20000,20,200,2e-04,0.003,"beta",80,60,3,7,16,35,39,0,0,152.891,-0.763456815742329,-0.778235822261702,-0.748677809222957,0.47959206562011,0.472302951043888,0.486881180196332,0.520407934379891,0.513118819803669,0.527697048956112,0.152833916131826,0.00754030944865938,0.138054909612453,0.167612922651198,0.240466442653954,0.238445521202521,0.00533447184645787,0.227989956383464,0.248901086021579,-0.166796313457437,0.00822916699510498,-0.182925480767842,-0.150667146147031,0.0795920656201095,0.00371893600827653,0.0723029510438875,0.0868811801963315,0.198980164050274,0.00929734002069131,-0.0795920656201095,0.00371893600827653,-0.0868811801963315,-0.0723029510438875,0.9,0.00948683298050514,0.88140580735821,0.91859419264179
