"COVID-19_Season";"Week_ID";"Current_Season_Week_Ending_Label";"MMWR_Week_Order";"MMWR_Year";"MMWR_Week";"MMWR_Day";"Setting";"Doses";"Cumulative_Doses";"Location_and_Flu_Season_Order";"Current_Through";"Age_Group"
"2023-2024";"2023 Dec 30 12:00:00 AM";"2025 Dec 27 12:00:00 AM";"18";"2023";"52";"7";"Physician Medical Office";"15,368";"606,441";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Dec 30 12:00:00 AM";"2025 Dec 27 12:00:00 AM";"18";"2023";"52";"7";"Physician Medical Office";"16,280";"756,892";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Dec 30 12:00:00 AM";"2025 Dec 27 12:00:00 AM";"18";"2023";"52";"7";"Physician Medical Office";"7,115";"372,865";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2024 Jan 06 12:00:00 AM";"2026 Jan 03 12:00:00 AM";"20";"2024";"1";"7";"Physician Medical Office";"64,958";"1,919,463";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2024 Jan 06 12:00:00 AM";"2026 Jan 03 12:00:00 AM";"20";"2024";"1";"7";"Physician Medical Office";"25,792";"602,787";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2024 Jan 06 12:00:00 AM";"2026 Jan 03 12:00:00 AM";"20";"2024";"1";"7";"Physician Medical Office";"42,952";"1,140,561";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2024 Jan 06 12:00:00 AM";"2026 Jan 03 12:00:00 AM";"20";"2024";"1";"7";"Physician Medical Office";"17,160";"537,773";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2024 Jan 06 12:00:00 AM";"2026 Jan 03 12:00:00 AM";"20";"2024";"1";"7";"Physician Medical Office";"19,020";"625,461";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2024 Jan 06 12:00:00 AM";"2026 Jan 03 12:00:00 AM";"20";"2024";"1";"7";"Physician Medical Office";"22,006";"778,898";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2024 Jan 06 12:00:00 AM";"2026 Jan 03 12:00:00 AM";"20";"2024";"1";"7";"Physician Medical Office";"10,090";"382,955";"38";"2026 Jan 17 12:00:00 AM";"75+"
